id,creation_date,completed_date,status,total_price,quantity,requester_id,approver_id,send_back_reason_id,supplier_id,item_id,spend_category_id
3160243,09/09/2013,09/20/2013,Approved,675432.0,1.0,6,3,,2279,36,33
Y0002391,05/15/2015,05/21/2015,Sent Back,3588.0,12.0,8,0,5,292,37,
4500230205,04/24/2014,04/25/2014,Approved,481.25,1.0,7,0,,136,38,19
REQ0008165,07/25/2012,08/06/2012,Approved,7683.6,24.0,2,4,,1107,39,35
3169145,04/22/2013,05/02/2013,Approved,2500.0,1.0,6,2,,1655,40,33
REQ0010201,05/14/2013,06/01/2013,Approved,4.11,3.0,0,1,,1316,41,12
3168898,04/05/2013,04/30/2013,Approved,425.0,1.0,8,4,,2121,42,3
4500147371,08/20/2012,08/24/2012,Sent Back,1905.6,240.0,4,0,6,1536,43,
SN353078,11/26/2013,11/29/2013,Approved,426.77,1.0,5,3,,2197,44,48
4500260121,12/01/2014,12/04/2014,Approved,823.0,1.0,7,2,,1065,45,10
4500285708,06/08/2015,06/11/2015,Approved,16470.0,16470.0,9,0,,2711,46,48
2PA3R072,10/31/2014,11/04/2014,Approved,11635.42,1.0,8,1,,767,47,32
CD0033213,09/19/2013,09/30/2013,Approved,6723.0,300.0,2,4,,814,48,1
4500211314,06/02/2014,06/15/2014,Sent Back,8.0,1.0,4,1,7,1874,49,
4500203586,10/23/2013,10/25/2013,Approved,0.23,1.0,8,0,,1027,50,29
4500281926,05/18/2015,05/18/2015,Approved,80.0,2.0,2,4,,252,51,32
1167-2013,02/18/2014,03/02/2014,Approved,5572.2,2.0,4,0,,388,52,35
4500182301,05/23/2013,06/02/2013,Sent Back,1636.78,1.0,9,2,8,1345,53,
12C771001,12/19/2012,12/20/2012,Approved,45985.0,1.0,5,0,,175,54,51
S3635043,12/13/2013,02/01/2014,Approved,2788.0,80.0,3,1,,2386,55,4
4500284140,05/29/2015,06/04/2015,Approved,1990.8,3150.0,6,3,,136,56,48
3168220,02/27/2013,02/27/2013,Approved,52201.2,1.0,8,2,,1058,57,24
7-13-15-051,10/30/2013,11/05/2013,Approved,1700.0,1.0,1,4,,910,58,6
REQ0009575,12/27/2012,12/30/2012,Sent Back,8739.5,10.0,4,0,9,352,59,35
3.21602E+11,01/29/2015,02/05/2015,Approved,911858.0,1.0,5,4,,1331,60,10
4500204302,11/13/2013,11/22/2013,Approved,1190.0,1.0,2,0,,2652,61,35
11A2226,06/18/2014,07/09/2014,Approved,190000.0,1.0,9,1,,2740,62,6
4500157395,10/29/2012,11/02/2012,Approved,475.91,1.0,0,0,,1749,63,12
1269-2014,04/03/2015,04/13/2015,Approved,6440.0,1.0,0,2,,2344,64,35
4500286586,06/11/2015,07/02/2015,Approved,48380.0,2000.0,8,1,,1058,65,24
50-64-126,05/14/2015,06/17/2015,Approved,29.82,6.0,6,3,,976,66,19
4500158787,11/08/2012,12/02/2012,Sent Back,1280.14,1.0,1,4,10,1065,67,
REQ0009177,09/19/2012,09/23/2012,Approved,2668.45,1.0,0,2,,1325,68,35
4500207854,02/26/2014,03/14/2014,Approved,8.0,1.0,3,2,,1874,69,16
SN253046,08/10/2012,08/20/2012,Approved,10404.0,400.0,6,3,,2568,70,5
1.01E+11,05/29/2013,06/03/2013,Approved,62168.55,1.0,3,0,,1417,71,27
4500175711,03/28/2013,04/07/2013,Approved,25914.0,1.0,1,4,,2049,72,55
14482029,09/03/2014,09/22/2014,Approved,360.0,3.0,5,4,,877,73,27
40-63-05,08/19/2013,09/02/2013,Sent Back,168.0,30.0,6,2,11,2367,74,0
12482136,06/10/2013,07/22/2013,Approved,109.5,50.0,9,0,,1065,75,19
IP120059,12/21/2012,12/22/2012,Approved,2541.5,230.0,8,4,,517,76,35
CF140541,04/21/2015,04/26/2015,Approved,6500.0,1.0,2,2,,963,77,33
4500281060,05/12/2015,05/23/2015,Approved,188.0,80.0,0,0,,2703,78,19
12518083,04/05/2013,04/14/2013,Approved,4514.4,40.0,5,3,,146,79,12
12560243,06/13/2013,07/03/2013,Approved,65.86,37.0,5,4,,1672,80,41
6.515E+11,08/08/2014,08/23/2014,Approved,7239.45,1.0,9,1,,1965,81,35
1UI2F1678,09/20/2012,10/02/2012,Approved,27937.5,1.0,7,4,,2101,82,4
4500225686,03/27/2014,03/29/2014,Approved,956.51,1.0,3,2,,2405,83,46
1.61E+11,07/26/2012,07/28/2012,Approved,5755.68,1.0,5,4,,2039,84,30
1PA1D295,08/31/2012,09/13/2012,Approved,8153.54,34.0,1,4,,511,85,34
C1211049,01/07/2013,01/17/2013,Approved,27403.6,1.0,1,4,,1500,86,29
076H3059,12/19/2013,12/21/2013,Approved,4095.0,1.0,4,2,,1871,87,12
4500212145,06/20/2014,06/21/2014,Approved,1980.0,4.0,0,1,,1331,88,35
12-861-208,04/22/2013,04/27/2013,Approved,18691.38,6.0,6,3,,1107,89,33
REQ0010219,05/02/2013,05/24/2013,Approved,685.6,2.0,0,1,,1871,90,12
4500214354,01/03/2014,01/09/2014,Approved,83.4,12.0,7,1,,2897,91,46
P1400481,11/13/2014,12/24/2014,Approved,1887.6,1.0,8,3,,81,92,35
S3914000,07/09/2013,07/27/2013,Sent Back,5836.32,54.0,3,0,12,620,93,
500-08-042,08/30/2012,09/05/2012,Approved,2100000.0,1.0,1,2,,526,94,40
HC51527-14-3035,05/27/2015,06/10/2015,Approved,239478.0,1.0,3,1,,517,95,33
4500227387,06/12/2014,07/23/2014,Approved,0.0,2100.0,0,2,,2475,96,48
S2856377,06/24/2013,07/20/2013,Approved,14075.28,6.0,9,3,,169,97,35
4500166083,01/09/2013,01/24/2013,Approved,439.86,6.0,5,3,,200,98,12
125-0391,05/09/2013,05/11/2013,Approved,9117.0,49.0,3,2,,102,99,12
4500218572,12/31/2014,01/14/2015,Approved,177.28,1.0,2,4,,1874,100,16
2013-1899,04/28/2014,05/06/2014,Approved,6192.53,1.0,4,1,,1689,101,1
2UI4H664,08/06/2014,08/12/2014,Approved,12434.0,1.0,1,2,,2557,102,10
2UI3N657,09/01/2013,09/07/2013,Approved,44015.4,1.0,1,1,,2973,103,36
PO 051300000070,12/27/2012,01/04/2013,Approved,12501.55,9.0,9,0,,120,104,35
R0000361,02/02/2015,02/04/2015,Approved,156.21,1.0,0,3,,2747,105,0
4500152983,09/25/2012,10/06/2012,Approved,1673.85,1.0,8,3,,302,106,1
4500158070,11/02/2012,11/03/2012,Approved,24784.5,1.0,5,0,,2640,107,0
12482053,10/22/2012,10/27/2012,Approved,100.29,3.0,4,0,,2640,108,19
4500268254,02/06/2015,02/16/2015,Approved,9829.05,1.0,0,1,,2640,109,32
REQ0010099,05/29/2013,06/06/2013,Approved,1500.0,3000.0,8,3,,2816,110,35
11-184,04/02/2014,04/16/2014,Approved,15510.96,12.0,1,2,,2531,111,38
4500218572,12/31/2014,01/13/2015,Approved,244.43,1.0,0,2,,1874,112,16
REQ0008872,09/18/2012,09/18/2012,Approved,8.96,1.0,4,4,,1814,113,12
30-62-2009,01/25/2013,01/27/2013,Approved,235.0,1.0,1,0,,969,114,45
4500255846,10/17/2014,11/05/2014,Approved,3020.0,200.0,8,1,,1678,115,24
8356,03/22/2013,03/23/2013,Approved,8460.0,1.0,9,0,,2073,116,33
PRF 14-0059,08/21/2014,08/29/2014,Sent Back,4800.0,30.0,2,2,13,352,117,19
SN353180,06/27/2014,06/29/2014,Approved,9472.4,1.0,2,1,,2197,118,19
048D4038,04/28/2015,04/29/2015,Approved,4621.98,6.0,5,2,,2863,119,34
4500168167,01/30/2013,02/20/2013,Sent Back,72.0,3.0,8,3,14,549,120,
HD250173,03/08/2013,03/09/2013,Approved,120.54,6.0,5,0,,1374,121,41
FIS 7188-12,04/16/2013,05/16/2013,Approved,4124.97,1.0,0,4,,695,122,35
L1300167,08/21/2013,09/01/2013,Approved,295.0,1.0,7,4,,1974,123,35
4500199155,03/24/2014,04/16/2014,Sent Back,3000.0,1.0,2,4,15,13,124,
12-10529,08/14/2013,09/25/2013,Approved,187980.0,1.0,3,4,,392,125,41
2557034,06/20/2013,06/29/2013,Approved,6280.0,200.0,7,4,,3006,126,35
13-D0282,06/27/2014,06/30/2014,Approved,9632.87,1.0,4,3,,994,127,12
CF130858,05/20/2014,05/21/2014,Approved,600.0,2.0,3,3,,1879,128,35
W0000958,07/21/2014,07/23/2014,Sent Back,3406.0,1.0,4,2,16,352,67,19
13-4638,06/20/2014,06/25/2014,Approved,10000.0,1.0,7,3,,1254,129,7
SN353151,04/19/2014,04/21/2014,Approved,1196.0,100.0,4,0,,136,130,39
X1214,01/14/2014,02/05/2014,Sent Back,3093.0,2.0,8,2,17,2414,,12
4500262710,12/18/2014,12/23/2014,Approved,692.8,32.0,7,2,,327,131,19
4500247133,08/19/2014,09/03/2014,Approved,13912.0,1.0,4,0,,2711,132,48
062D4011,04/07/2015,04/11/2015,Approved,46.8,20.0,9,0,,1001,133,11
4500234709,05/27/2014,07/25/2014,Approved,8480.0,320.0,3,3,,2668,134,48
4500141816,07/03/2012,07/07/2012,Approved,1680.0,4000.0,9,1,,136,135,48
GP130166,05/20/2014,05/21/2014,Approved,51.43,1.0,5,1,,2211,136,42
cd130086-00,12/20/2013,01/17/2014,Approved,19000.0,1.0,3,1,,920,137,37
4500158835,11/09/2012,11/23/2012,Approved,50.0,10.0,3,4,,1647,138,39
4500158302,11/06/2012,11/07/2012,Approved,1559.7,30.0,0,2,,2730,139,53
4500220163,02/19/2014,02/24/2014,Sent Back,119.7,30.0,8,0,18,81,140,
4500146659,08/17/2012,08/27/2012,Approved,779.4,3.0,5,4,,2238,141,8
42A9692,11/27/2013,12/08/2013,Approved,30000.0,1.0,1,0,,39,142,45
367740,08/23/2012,08/27/2012,Approved,5900.0,1.0,7,4,,2413,143,7
12-10305,12/18/2012,12/31/2012,Approved,350000.0,1.0,4,3,,1600,144,40
42A9147,03/27/2015,04/05/2015,Sent Back,66650.6,1.0,1,4,19,352,142,45
031D3006,04/28/2014,05/14/2014,Approved,227.36,8.0,8,0,,1186,145,23
4500218572,12/31/2014,01/04/2015,Approved,158.5,1.0,4,4,,1874,146,16
DCA0002450,10/19/2012,11/01/2012,Approved,11051.2,1.0,3,4,,931,147,45
4500206985,02/04/2014,02/05/2014,Approved,9.0,1.0,5,4,,1874,148,16
50-63-69,11/22/2013,12/04/2013,Approved,286.74,1.0,5,3,,976,149,12
10160665,09/11/2013,09/24/2013,Approved,241.45,1.0,7,0,,1584,150,54
1235710D11,05/20/2013,05/26/2013,Approved,37555.0,1.0,1,0,,1683,151,42
SH131013,06/26/2014,07/21/2014,Approved,1995.0,60.0,5,1,,1871,152,12
M3001003,09/19/2012,09/24/2012,Approved,8410.0,1.0,1,3,,662,153,7
4500203457,10/15/2013,11/12/2013,Approved,16716.96,6110.0,0,0,,899,154,48
P1300488,11/25/2013,12/07/2013,Approved,1892.0,1.0,4,1,,485,155,35
4500152733,09/21/2012,10/03/2012,Approved,2856.89,1.0,4,0,,884,156,51
13-T3705,08/14/2013,08/17/2013,Approved,4000.0,1.0,9,4,,2551,157,38
REQ0012192,03/27/2014,04/04/2014,Approved,773.88,6.0,6,1,,102,158,12
3PA3C210,07/16/2013,07/26/2013,Approved,16139.07,1.0,8,0,,155,159,16
4500198011,09/10/2013,09/13/2013,Approved,6704.5,12650.0,2,4,,136,160,48
4500287782,06/16/2015,06/26/2015,Approved,7010.5,1.0,7,3,,2503,161,46
4500210052,04/25/2014,05/19/2014,Approved,10800.0,6.0,8,3,,579,162,0
4PA3H030,09/24/2013,10/05/2013,Approved,1412.5,10.0,8,3,,1678,163,32
14-07-0466,10/13/2014,10/15/2014,Approved,25400.0,1.0,0,2,,1621,164,32
4500242279,07/10/2014,07/17/2014,Approved,20600.0,1.0,2,2,,75,165,27
3168314,05/09/2013,05/18/2013,Approved,7904.49,1.0,0,4,,815,166,30
HC28255-12-3035,12/29/2014,01/02/2015,Approved,0.0,1.0,3,1,,1526,167,45
32500403,04/30/2013,04/30/2013,Approved,471.0,1.0,7,2,,357,168,34
13-5690,05/29/2014,06/05/2014,Approved,8000.0,1.0,7,0,,874,169,7
1UI3F832,12/04/2013,12/13/2013,Approved,5520.0,1.0,0,3,,1884,170,10
50-63-21,08/06/2013,08/23/2013,Approved,1.49,1.0,3,1,,976,171,12
30-62-2003,08/21/2012,09/02/2012,Approved,2050.0,1.0,4,4,,823,172,35
SA12-8028-1,12/20/2012,01/01/2013,Approved,1000.0,1.0,5,4,,625,173,37
4500147045,08/17/2012,09/12/2012,Approved,81.25,5.0,3,4,,1931,174,22
4500220718,03/29/2014,04/02/2014,Approved,33.25,19.0,0,4,,1674,175,10
4500176398,04/05/2013,04/27/2013,Approved,36.0,2.0,9,4,,517,176,34
4500247218,08/19/2014,08/20/2014,Approved,1203.3,1.0,8,2,,327,177,41
4500193778,01/29/2013,02/03/2013,Approved,8236.0,2.0,6,2,,1702,178,23
3CC2L009/3PA2L016,04/18/2013,04/21/2013,Approved,16518.92,1.0,8,4,,34,179,10
4500255179,10/15/2014,10/21/2014,Approved,20577.04,1.0,6,0,,1870,180,30
S4715219,05/08/2015,05/10/2015,Approved,418.53,3.0,3,1,,1200,181,32
94-62-7560,11/15/2012,11/15/2012,Approved,49000.0,1.0,5,0,,1174,182,33
13C686004,03/18/2014,04/06/2014,Approved,14820.0,1.0,7,3,,1006,183,50
ARB136003,07/29/2013,08/03/2013,Sent Back,4548.0,1.0,6,2,20,1630,184,
4500166017,01/09/2013,01/11/2013,Approved,3300.0,1.0,5,4,,357,185,12
13HIT215,03/21/2014,03/23/2014,Approved,65312.19,1.0,9,0,,1519,186,35
50-63-13,07/19/2013,08/17/2013,Approved,613.0,1.0,0,4,,2923,187,12
REQ0008872,09/18/2012,09/22/2012,Approved,18.46,1.0,7,2,,1814,188,32
4500171995,06/24/2014,07/12/2014,Approved,6375.0,250.0,7,3,,357,189,48
4M440971,03/27/2015,05/05/2015,Approved,6070.5,6.0,7,4,,485,190,33
14-10009,03/19/2014,03/21/2014,Approved,40000.0,1.0,9,0,,357,191,19
94-62-7611,04/18/2013,04/21/2013,Approved,12977.05,1.0,4,1,,2041,192,35
12W20039,09/13/2012,10/03/2012,Approved,50000.0,1.0,2,2,,3032,193,29
12-0096,08/28/2012,08/28/2012,Approved,11836.71,1.0,0,1,,2140,194,43
4500258411,11/14/2014,11/22/2014,Approved,21780.0,7920.0,7,2,,357,195,48
CF140925,06/12/2015,06/26/2015,Approved,1396.2,1.0,4,2,,750,196,35
525H4000,10/07/2014,10/16/2014,Approved,3701.1,30.0,5,3,,698,197,10
14MC-CD091,10/15/2014,11/04/2014,Approved,2728.0,10.0,7,4,,750,198,11
L1301167,06/24/2014,07/15/2014,Approved,15600.0,1.0,2,3,,2514,199,33
3167957,02/11/2013,02/28/2013,Approved,45000.0,1.0,3,3,,2954,200,43
4500191215,06/11/2014,06/19/2014,Approved,81.88,4.0,7,1,,2503,201,22
4500289831,06/26/2015,06/27/2015,Approved,6800.0,20.0,4,0,,2405,202,47
4500289873,06/26/2015,07/12/2015,Approved,56000.0,1.0,8,4,,1377,203,16
4500208948,11/25/2013,12/01/2013,Approved,7670.04,7670.04,8,1,,1537,204,48
POK42325,05/12/2015,05/20/2015,Approved,9520.0,1.0,2,2,,,205,10
4500169417,02/08/2013,02/12/2013,Approved,2552.14,1.0,9,0,,2915,206,19
W1684,06/20/2013,06/21/2013,Approved,18.0,6.0,7,4,,2535,207,38
4500289047,06/23/2015,07/14/2015,Approved,461537.37,1.0,6,2,,2503,208,22
20028-12-5390-0,07/11/2012,07/16/2012,Approved,25000.0,1.0,2,3,,369,209,27
12548058,07/31/2012,08/03/2012,Approved,6262.5,5010.0,0,3,,1678,210,48
CF140541,04/21/2015,04/24/2015,Approved,512.55,1.0,0,1,,963,211,33
4500180628,05/15/2013,06/19/2013,Approved,13500.0,25000.0,2,4,,1577,212,48
4500147508,09/05/2012,09/19/2012,Approved,5712.0,35700.0,0,2,,1678,213,48
4500197645,09/06/2013,09/18/2013,Approved,81902.6,2834.0,0,4,,357,214,48
4500142715,07/12/2012,07/21/2012,Approved,987.56,1.0,6,3,,102,215,12
4500228668,04/15/2014,05/03/2014,Approved,13.99,1.0,1,1,,2927,216,12
30647,02/12/2014,02/20/2014,Approved,0.0,1.0,0,2,,1195,217,33
4500158011,11/02/2012,11/16/2012,Approved,55.04,4.0,9,0,,327,218,53
4500201426,08/27/2013,09/04/2013,Approved,118.26,1.0,7,1,,1874,219,16
4500176799,04/10/2013,04/22/2013,Sent Back,55.9,2.0,4,1,21,2927,220,
4500212601,06/27/2014,08/05/2014,Approved,4124.0,1.0,7,0,,1331,221,10
4500212821,12/20/2013,01/28/2014,Approved,280.0,4.0,4,4,,2497,222,23
REQ0008578,07/19/2012,07/30/2012,Sent Back,45.0,3.0,4,0,22,252,,32
REQ0009424,11/08/2012,11/15/2012,Approved,280.0,2.0,0,4,,1140,223,35
13-41046,12/20/2013,12/22/2013,Approved,49999.0,1.0,1,1,,1890,224,40
11A1849,01/15/2013,01/18/2013,Approved,89975.0,1.0,2,1,,1123,225,6
2242560,08/07/2012,08/09/2012,Approved,38200.0,1.0,1,2,,1434,226,54
REQ0012735,05/06/2014,05/25/2014,Approved,0.0,1.0,7,2,,1871,227,12
12560121,01/04/2013,01/11/2013,Sent Back,165.83,1.0,0,1,23,3038,74,41
419939,10/26/2012,11/02/2012,Approved,0.0,1.0,7,1,,2033,228,37
4500212893,07/11/2014,08/08/2014,Sent Back,1800.0,1.0,5,4,24,352,229,33
71500000023,07/22/2014,07/22/2014,Approved,12600.0,300.0,4,0,,629,230,24
13482037,10/04/2013,10/17/2013,Approved,786.12,2.0,8,1,,3027,231,19
W1269,04/16/2013,04/23/2013,Approved,44.05,1.0,6,3,,1792,232,12
HD139017,06/28/2013,07/09/2013,Approved,24000000.0,1.0,9,1,,1852,233,43
1UI3D113,09/25/2013,09/30/2013,Approved,13550.9,1.0,8,1,,2758,234,13
SMM-84-1347,04/17/2014,04/26/2014,Sent Back,39546.82,1.0,5,0,25,433,,28
4500178936A,03/20/2014,03/21/2014,Approved,6804.0,28.0,4,1,,357,235,39
4500220564,03/02/2015,03/15/2015,Approved,386.51,1.0,4,0,,1871,236,12
3UI2C1562,06/02/2013,06/16/2013,Approved,88020.0,1.0,3,0,,958,237,38
POV22138,05/17/2013,05/23/2013,Approved,147.06,6.0,4,1,,437,238,52
nmed531056525,10/26/2012,10/27/2012,Approved,8321.4,1.0,7,3,,426,239,54
4500281538,05/14/2015,06/08/2015,Approved,2650.0,500.0,6,2,,2392,240,35
4500258264,11/13/2014,11/14/2014,Approved,6622.5,75.0,1,4,,1536,241,44
4500210216,06/20/2014,06/28/2014,Approved,174.19,1.0,8,1,,1874,242,16
14-FED-00444,05/14/2015,05/15/2015,Approved,79342.0,1.0,8,2,,2392,243,33
017-12,03/29/2013,04/05/2013,Approved,24602.0,1.0,8,2,,2525,244,51
4500205690,12/30/2013,01/19/2014,Approved,445.92,4.0,0,1,,2503,245,44
4500196432,08/30/2013,10/01/2013,Approved,1131.6,552.0,6,2,,2711,246,48
CD14-070,02/03/2015,02/03/2015,Sent Back,0.0,1.0,4,3,26,59,247,
4500182023,05/28/2013,06/16/2013,Approved,289.5,10.0,7,4,,2850,248,32
14-G0237,12/03/2014,12/19/2014,Approved,10.9,1.0,6,2,,1316,249,12
9549,09/24/2014,10/09/2014,Approved,51554.0,1.0,4,1,,1060,250,33
12548185,07/31/2013,08/12/2013,Approved,13573.0,700.0,1,4,,2182,251,48
94-62-7513,08/22/2012,08/24/2012,Approved,0.0,1.0,7,0,,374,252,35
11AFHY19-PG24,11/21/2012,11/30/2012,Approved,49443.0,1.0,7,4,,324,253,14
NMED531957182,01/22/2015,01/27/2015,Approved,5025.0,1.0,7,3,,1539,254,7
SN139031,06/26/2013,08/22/2013,Approved,69600.0,1.0,0,3,,1412,255,40
12-G0461,06/24/2013,07/08/2013,Approved,4.11,1.0,0,4,,1316,256,24
4500152139,09/19/2012,10/01/2012,Approved,1633.68,1.0,1,4,,102,215,12
14-PO-02637,05/06/2015,06/05/2015,Approved,8406.25,1.0,6,1,,1861,257,53
4500202454,09/26/2013,09/27/2013,Approved,608.24,1.0,0,2,,1874,258,16
W0000452,09/18/2013,10/05/2013,Approved,108.0,1.0,6,0,,1231,259,43
REQ0012650,05/28/2014,07/07/2014,Approved,185.73,1.0,3,0,,13,260,24
Y0001078,07/25/2014,08/04/2014,Approved,454.5,1.0,3,2,,2915,261,44
D0653,05/21/2015,06/12/2015,Approved,256000.0,1.0,0,0,,76,262,6
45001777228,05/06/2013,05/09/2013,Approved,1323.0,540.0,9,2,,357,263,8
11-451-0026,10/15/2012,11/01/2012,Approved,4579.8,6.0,7,2,,2503,264,19
REQ0012516,05/05/2014,05/19/2014,Approved,0.0,1.0,9,2,,2804,265,36
ARB135240,10/17/2014,10/26/2014,Sent Back,7490.2,1.0,3,0,27,352,266,41
4500207189,11/13/2013,12/10/2013,Approved,18816.0,28.0,0,4,,357,267,34
4500276554,04/07/2015,04/17/2015,Approved,2975.0,20.0,8,0,,1678,268,8
4500175435,03/27/2013,04/06/2013,Approved,2203.5,325.0,5,3,,2967,269,48
PO232369,11/05/2013,11/09/2013,Approved,13206.0,7100.0,8,2,,1812,270,25
4500215968,10/08/2014,10/19/2014,Approved,352.0,8.0,5,3,,2112,271,23
4500198451,09/16/2013,09/29/2013,Sent Back,37747.5,1.0,8,3,28,2371,272,35
4500239416,06/19/2014,06/28/2014,Approved,15953.0,1.0,4,4,,136,273,39
C4715BDG,05/19/2015,05/27/2015,Approved,22221.0,1.0,7,2,,2327,274,6
4500198943,03/19/2014,04/10/2014,Approved,35343.0,321300.0,4,0,,357,275,25
14C047003,12/02/2014,12/08/2014,Approved,9500.0,1.0,2,3,,2710,276,44
33500025,07/15/2013,08/04/2013,Sent Back,1707.0,3.0,8,0,29,357,277,39
42A7791,07/18/2012,07/28/2012,Approved,25000.0,1.0,1,2,,39,278,45
4500244773,08/12/2014,08/26/2014,Sent Back,23739.8,1.0,0,1,30,604,279,24
TC130777,04/16/2014,05/03/2014,Approved,28.0,4.0,1,0,,1107,280,35
D0899,06/30/2015,07/06/2015,Sent Back,9952.0,1.0,1,3,31,2392,281,4
4500165299,01/02/2013,01/02/2013,Approved,832.0,16.0,3,3,,1121,282,12
DCA0002455,03/21/2013,03/29/2013,Approved,384.0,6.0,8,3,,102,283,12
460542,12/31/2012,01/06/2013,Approved,30000.0,1.0,0,0,,1142,143,7
4500231920,05/07/2014,05/09/2014,Approved,6602.0,1.0,1,3,,2683,284,1
14-PO-01398,02/03/2015,02/11/2015,Approved,6059.14,1.0,1,2,,0,285,32
3168993,04/09/2013,04/14/2013,Approved,550.0,1.0,3,4,,1678,286,34
SA13 5002,06/07/2013,06/18/2013,Approved,4999.0,1.0,8,2,,2573,287,34
14-436.01-006,06/04/2015,06/04/2015,Approved,200.0,100.0,1,4,,1806,288,46
SN250573,05/17/2013,05/28/2013,Approved,4821.38,1.0,4,4,,2674,289,12
2UI4J975,08/17/2014,09/04/2014,Approved,268315.8,1.0,5,2,,2101,290,38
12-0000008441,04/03/2013,04/27/2013,Sent Back,646.8,24.0,3,3,32,2380,281,33
REQ0010533,06/13/2013,06/29/2013,Approved,27.9,2.0,5,1,,935,291,10
11-506-0301,08/28/2012,09/04/2012,Approved,888.75,45.0,7,2,,816,292,48
4500232770,05/13/2014,05/23/2014,Approved,59.36,1.0,9,1,,2124,293,8
09-T9126 A5,05/31/2013,06/11/2013,Approved,0.0,1.0,0,0,,1334,294,17
REQ0009896,03/01/2013,03/03/2013,Approved,84.75,5.0,1,1,,102,295,12
BD130358,12/04/2013,12/14/2013,Approved,231.98,2.0,0,0,,1107,296,35
L1200937,05/16/2013,05/28/2013,Approved,5324.75,361.0,4,1,,2683,297,54
S3856302,12/10/2013,12/23/2013,Approved,2896.8,24.0,4,4,,357,298,23
4500181467,05/20/2013,05/24/2013,Approved,595.29,1.0,2,2,,2640,67,19
1UI2E987,09/22/2012,09/26/2012,Approved,5548.0,1.0,0,0,,992,299,6
11-HQ-025-1,09/05/2012,09/30/2012,Approved,14388.1,10.0,9,1,,146,300,35
3165200,08/27/2012,09/09/2012,Approved,70.0,1.0,6,0,,2496,301,3
13-6210,06/25/2014,07/10/2014,Approved,13000.0,1.0,5,0,,1944,129,7
13560073,10/31/2013,11/11/2013,Approved,128.4,2.0,8,0,,2503,302,42
