item_name,item_description,id
various calendars planners,quicknotesmtlymgmtsys plannerwk mowwarrior book apptwkly mo rcy ny calendarwkly bookbk calendarmonthlybk plannerwkyprofqckntsbca plnrwallvert36x24begy plnrwalver hor24x26 bookappttell add 375x6bk h,149
ca civil procedure before trial,2013 updates,150
signs,prismatic signs for facility perimeter,151
5 year low volume maintenance agreementtaxable,5 year low volume maintenance agreement taxable,152
tra,tra,153
beef,beef,154
label writer,dymo labelwriter,155
copier maintenance renewal for fy 12 13,copier maintenance renewal for fy 12 13,156
service contract,removal transport and treatment of bio hazardous waste,157
black cartridge for laserjet cp4025 4525 85k647a,black cartridge for laserjet cp 4025 4525 85k647a,158
gasoline,gasoline for vehicles,159
cake mixwhite,cake mixwhite,160
filters and v belts,filtersv belts,161
exo turbidity sensor ti,exo turbidity sensor ti,162
nomex jacket large,nomex jacket large,163
transmitter,transmitterpersonal alarm,164
sodium hypochlorite,sodium hypochlorite,165
hose and fittings,hose and fittings,166
amendment 312 29 14,amendment #3december 292014extend end term date from 12 31 2014 to 2 6 2015,167
manhattan mid back lite chair fabrictex black,product no 68270002099chair for yungsuhn park,168
contract,scholarship for health profession education,169
water tender used on going fire,water tender used on going fire,170
clip #1gemsmooth1m pk,clip #1gemsmooth1m pk,171
labor,labor,172
insurance premium,insurance premium,173
valve,valvepowmm43110shower,174
ca recycling fee,replacement tires,175
star tech vga ext cable mxt101hq10,star tech vga ext cable mxt101hq10,176
medical supplies,tongue depressorssyringesvacu tubecloth tape,177
terminal,terminal,178
engine,engine for crew bus 2,179
jet lathe w dro and taper,jet lathe w dro and taper,180
12 ga shotgun slug,12 gauge shotgun slugs for santa cruz district,181
tsm implementation,tsm implementation,182
portable toilet maintenance,provide portable toilet maintenance to chp rainbow cvef northbound and southbound,183
smoke check 1667 with 20 ft cable,smoke check 1667 with 20 ft cable,184
dental radiograph folders,373800105,185
solarwinds software,solarwinds software,186
rapidprint are time stamp with 2 custom plates,rapidprint are time stamp with 2 plates,187
footreststandard2posadi,footreststandard2posadi,188
cookie oatmeal,cookie oatmeal,189
support subscription vmware vsphere 6 w op mgt ent plus for 1 year,us production support subscription vmware vsphere 6 with operationsmanagement enterprise plus for 1 year vmware inc,190
dental laboratory services,dental labortary services,191
mse 3355 hardware sku,mse 3355 hardware sku,192
fedex corporate servicesinc,small parcel delivery services,193
phppspe,highrisk pest exclusion activities in air freight and parcel terminals,194
chicken breast,chicken breast,195
hp zbook 15 mobile workstation z15 g2,hp zbook 15 mobile workstation z15 g2,196
tiregoodyear eagle rsap245 55r18clin 204,tiregoodyear eagle rsap245 55r18clin 204,197
32gb ddr31600 dimm4x8gbram,32gb ddr31600 dimm4x8gbram,198
costar suite + 1 year subscription,costar suite + 1 year subscription subscription includes access to costar property professional costar comps costar tenant national for sale database and costar professional directoryterm date 06 also includes a courtsey to change user,199
general jurisdiction pro tem alj services,contractor will provide services as a pro tem administrative law judgeduring general jurisdiction hearings,200
band saw carbide blade 10 tpi 6yfy5,band saw carbide blade 10 tpi 6yfy5,201
6dgy4 eyewash stationwall mount,6dgy4 eyewash stationwall mount ss151 2 w,202
liquified petorleum gaslpg ,liquified petorleum gaslpg ,203
pretzels,pretzels,204
pontoon boat basic kit,pontoon boat basic kit,205
ostomy pouch,ostomy pouch,206
fees,state environmental fees,207
plasma cutting table,plasma cutting table,208
laboratory gases,laboratory gases,209
whole wheat bread,10024 slices per loaf,210
ups network management card 2,network maintenance,211
pasta rotelle,pasta rotelle,212
apple juice,apple juice,213
peanut butter jelly box lunch 4sl,peanut butter jelly box lunch 4sl,214
toner,toner,215
selfinking stamp glaucoma #4913,selfinking stamp glaucoma #4913,216
software support,vmware software support,217
gauze tape,gauze tape,218
fuel for equip 18r075,fuel for equip 18r075,219
digital pocket thermometer,digital pocket thermometer,220
change to 4x4,change to 4x4,221
vaccuum breaker #277112,vaccuum breaker,222
asusgraphics cardgf ftx 550 ti 1gb gddr5pci express 20x16dvi dsubhdmi,graphics cardasus engtx550 ti dc di 1gds gf gtx 550 ti1 gbgddr5pci express 20 x 16dvi,223
surgical services,surgical services,224
maintenance services at san hills safety roadside rest area,contractor shall provide all labormaterialssupplies and equipmentsnecessary for daily cleaning sanitizing of sand hills srrathree 3year contractamendment 11a1849a02 to add 2076300 to the original contract tocover the services to the approved 3 year contracttotal amountof the agreement is 89 97500 after amendment 2,225
forensic instructor,provide specialized training to forensic scientists throughout the state of california in different areas,226
additional 500sheet paper tray3 trays total ,mxde22 additional 500sheet paper tray3 trays total ,227
amend to extend term and shift funds within years,amend to extend term and shift funds between fiscal years totalcontract amount did not changeorig contractor to provide creditreports and address update reports on individuals to the cdss ccld ,228
matlab report generator maintenance,matlab report generator maintenance,229
scrim type towels,paper nonwoven 4 ply 12x13 qfold,230
biopatchcentral line dressing,biopatchcentral line dressing,231
office supply,file guides,232
hearings,administrative hearings,233
type iii engine hired to cover state station,type iii engine with one operator and two ff hired under local agreementto cover state fire station,234
640000 banana board keyboard support,640000 banana board keyboard support,235
fax expansion kit,fax expansion kit,236
mobile kitchen support unit,mobile kitchen support unit for firefighters on going fire,237
dry bag,baja 20 dry storage bag,238
job coaching,job coaching,239
end point licenseqty 500,end point licenseqty 500,240
solid power,solid power,241
fuel for equip 14r291,fuel for equip 14r291,242
data matching,contractor provide data matching services for cdss to determineeligibility to receive supplemental nutrition assistance programbenefits and the correct benefit amount,243
isic,printing servicesforms 5181891 432 518462a750 518125 1 250 5181081 000 51811625 000 51828820 000 518117 5 000 biqms 21 800 biqms 62 650 51820015 000 incomingalmonds43 500 ,244
disinfectant aerosol lysol,disinfectant aerosol lysol,245
french toast,french toast,246
cd14070,rush fee for printing 55 000 fyf magazines,247
floor mats,floor mats,248
monthly planner,monthly plannerblack67 8x83 4,249
netscout sniffer,netscout sniffer,250
pineapple tidbits,pineapple tidbits,251
catalyst 3750x 24 port poe ip base,catalyst 3750x 24 port poe ip base,252
americorps grant,americorps grant contract,253
communication training,communication training crp 24 hour group,254
urology services,contractor agrees to provide medical services to clients withdevelopmental disabilities in the field of urology as requested by theproject representative these will includebut not limited to typical services such as aphysician ex,255
mechanical pencil,mechanical pencil,256
laboratory supplies,glass vialscaps for glass vialsinserts for glass vialsfreezerstorage boxeseppendorf tubestipsfilter assemblymicrocystin lystandardlabeled saxitoxin standardanatoxdinalabelleduracil lphenylalaninepolaris c18etherlc rotor par,257
fuel for equip 14r209,fuel for equip 14r209,258
title 22 liccert renewal subscription,title 22 liccert renewal subscription,259
assorted postit flags,assorted postit flags,260
ltter bag,litter bag,261
perimeter fence modification,perimeter fence modification,262
boxers men large,boxers men large 4321000400 3rd qt,263
evap cooler,evap coolerwindow 500 cfm wremote,264
25 years service certificat,25 years service certificat,265
model t400 uv absorption ozone analyzer,includes mounting hardware,266
student tablescherry carbon36w x 30d#5340001090,student tablescherry carbon36w x 30d#5340001090,267
nfpatrouser org2xl,trsrnfpaorg3622xl regtencate,268
soft serve chocolate,soft serve dairy gold chocolate,269
biovita starter #2,fish food,270
guard cast alum acy hub vcg30 300w,guard cast alum acy hub vcg30 300w,271
R66,R66,272
paper bags,paper bags,273
ukiah dorm gas line,contractor will be responsible to provide with gas line replacementserviceswork calls for running a new supply gas line around thecccs dorm units up to above ground metal connection,274
twopack slice 20 wheat bread,twopack slice 20 wheat bread,275
protective clothingoperational supplies rental services,protective clothingoperational supplies rental services for chptelecommunications section,276
R548,R548,277
ew,ew,278
R33,R33,279
sandisk 8gb 4sd flash memory card,flash memory card,280
R734,R734,281
toner savin 4060 dem,toner savin 4060 dem,282
hp black toner,hp black toner,283
digital voice recorders,digital voice recorders,284
server hardware,lg series 47 class 1080p smart ledsswivel mntshigh speedcableshp graphicslogitech wrls combosadapters,285
ergonomic chair,ergonomic chair,286
sponsor conference,sponsor conference,287
belkin 7foot cat 5e snagless patch cablegreen,belkin 7foot cat 5e snagless patch cablegreen,288
office supplies,to be used in various offices of the facility,289
mobile kitche unit support package a,mku support package to support mobile kitchen on going fire,290
wheel balance valve stem combo,wheel balance valve stem combo,291
pears,pears,292
diabetic ortho shoes sz 10 5e,diabetic ortho shoes sz 10 5e,293
service contract,lane metal finishers contractor to close a well at the sit,294
hp 98 black toner,hp 98 black toner,295
apc backup rs lcd 700 master control ups,firmware,296
strengths finder 20hardcover book,strengths finder 20hardcover book,297
wire management tray,wire management tray38colorblack,298
dozer,dozer for going fire,299
notebookslicensesdocking stations,hp probook widm memorywindows 2010docking stationsnextdy servicestandard licenses,300
36 x 20 evaporative cool pad rollfor plant equipmentmaintenance,36 x 20 evaporative cool pad rollfor plant equipmentmaintenanceattention ken gulldeliver to boiler room,301
traffic sign,traffic signno thru traffic,302
pc monitor,pc monitors,303
annual softwaremaintenance support for mekel mach vii,onsite merkel mach vii scanner maintenance and support,304
small parcel delivery,small parcel delivery,305
dental supplies,dental supplies,306
blanket order for ground beef,blanket order for ground beef,307
cloth seats,40 20 40 cloth seats,308
prop 84 stormwater,paseo santa fe green street project,309
goodyear integrityp215 70r15,goodyear integrityp215 70r15,310
medical supplies,1 8 000 ea 107661 syrnge insulin 1cc 29x1 2 10cs#10211 036 2 880002 5 600 ea 70882 syrnge tuberculosis 1 cc 27g x 1 2#10131 033 1 848003 192 box 22115 gauze sponge sterile 4x4 8cs req #441001 145 278404 180 box 107523 gauze sponge 2x2,311
3 year nbd warranty,3 year next business day basic warranty,312
proc upgrade 2643,proc upgrade 2643,313
fresh bakery goods,fresh bakery goods,314
foodservice supplies,cspsan quentin foodservice purchase order forinsulated trays lidsorder for fy 14 15,315
crackerscheesepeanut buttergraham,crackerscheesepeanut buttergraham,316
tape,tape,317
gloveslarge,gloveslarge,318
ice cream,ice cream,319
blood collection tubegreentop40bd,blood collection tubegreentop40bd,320
lunch meat,lunch meat,321
stone,slope stone 915,322
dental supplies,1 2 ea 1001391buckleys formocresol 10312 206242 6 box 9911756protector needle sheath prop 5247 314823 84 ea 6402805caviwipes 672 564484 2 box 1078256face shields protex 6 3288 6576,323
custodial disinfecting agent,oxivir 80 cases at 13900 for disinfecting,324
pencils,pencils,325
R105,R105,326
expert witness,withheld 01some or all of the information in this contractis exempt from disclosureif you need informationcontact department,327
toners,hp 647a black for laserjet cp4025 4525,328
toner,clin 68 hp 12ablack q2612a,329
blanket po for shipping for hr docs,blanket po for shipping for hr docs,330
potatoe cutter,cutterescalesboards all for kitchen,331
newsprint,newsprint,332
smartnet 8x5xnbd catalyst 3560x 24 port poe ip base,smartnet 8x5xnbd catalyst 3560x 24 port poe ip base,333
fuel for equip 13r211,fuel for equip 13r211,334
waste basket,waste basket,335
electrical wiring installation,electrical wiring installation,336
exit sign,exit sign,337
impression trays,dental impression trays,338
reed switch,reed switch,339
pager servicesvsp 2of2 mh ,pager servicesvsp 2of2 mh ,340
milknonfat1 2 pint70 per case,milknonfat1 2 pint70 per case,341
bakery,baked goods,342
it services,the contractor will provide monthly supportmaintenanceand enhancements to the magic database system used by cde presss sales office to manage automated salesinventoryand distribution information,343
rice,ricelong grain white,344
m22amplifierplantronics m22,m22amplifierplantronics m22,345
contact labor,contract labor,346
bagged ice,bagged ice for personnel assigned to a going fire,347
kodak digital roll cleaning pads#8535981,kodak digital roll cleaning pads#8535981,348
lobby cartlegalfel40912,equipment needed for new san jose dlpc officesdue to theimplementation of ab60,349
data assessment,contractor will revieworganize and compile data provided by dmhc to assist dmhc in assessing the adequacy of health plans provider networks to serve seniors and persons with disabilitiesspdswho have been mandatorily enrolled in medical managed c,350
5yr low volume maintenance for sharp mx4111n mfp,5yr low volume maintenance for sharp mx4111n mfp,351
hospital services,hospital services,352
fresh produce,varied fresh produce,353
tripp lite protect it tlp712,tripp lite protect it tlp712,354
margarine,margarine spreadmargarine prints,355
toilet tank items,toilet tank items,356
vine savin mo,mo,357
project manager,project manager,358
stormwater management services,time only extension to complete services,359
hp z640 workstation,hp z640 workstation,360
hi top basketball shoes 11,hi top basketball shoes 11,361
almonds,natural whole almonds,362
fiber input board,multimode fiber input board,363
663478b21 hp 2u small form factor ball,663478b21 hp 2u small form factor ball,364
gasket camlok 6,gasket camlok 6,365
idrac7 enterprise,idrac7 enterprise,366
channel nut with spring galvanized,3 8,367
toner cartridges,toner cartridges,368
sanitary napkins,sanitary napkins,369
prepared meals,prepared boxed meals,370
software,xry office versionlogicalsoftware kits ,371
digital safe key pad,digital safe key pad,372
battery for aed,batteries for aed,373
envelope cat r strip 10x13,envelope cat r strip 10x13,374
color copier maintenance agreement,one year maintenance,375
drum f hl1440 1650 20k pg,drum f hl1440 1650 20k pg,376
6 gray cover base,cover basegray 6,377
panel 1r #fc14004 freedom electric,panel 1r #fc14004 freedom electric,378
polyester bar code labels,polyester bar code labels,379
label lsr f fldr 15c be ,label lsr f fldr 15c be,380
consolepanelswitchcable,consolepanelswitchcable,381
direct service,support services for caregivers families of cognitivelyimpairedadults,382
cadd pump,admin sets for legacy cadd pump,383
tirehankook dynaprolt245 75r17,tirehankook dynaprolt245 75r17,384
fcc07x9042mtsflex comer connector7d90 degree xtype42hempty square,fcc07x9042mtsflex comer connector7d90 degree xtype42h emptysquare,385
amendment no 2,the amount of the agreement is increased to 431 000theterm date is extended to 6 30 14,386
startech 4in1 usb dvi kvm cable waudiomicrophone keyboardvediomouse 6,startech 4in1 usb dvi kvm cable waudiomicrophone keyboardvedio mouse 6,387
book,inclusionincluding people with disabilities in parks andrecreation opportunities #9781892132338,388
amendment no 2,amendment no 2the term of the agreement is extended to 10 31 28 thecompletion date is extended to 10 31 08,389
software,software,390
training book,spidells 4hour cpa ethics,391
training equipments,15 channel transeivers,392
plantronics cs540hl10 wireless headset bundle,headset,393
wire shelving 74hx48w chrome,wire shelving 74hx48w chrome,394
fish feed,fish feed,395
baby oil,baby oil,396
digital paper81 2x14,digital paper81 2x145 000 cs,397
ewaste,ewaste,398
hp 120w docking station,hp 120w docking station,399
blower,leaf blowerbackpack,400
all terrain tires,all terrain tires,401
order #13mk0927jt,batching miscellaneous food contract vendor invoices for payment,402
it networkservice provider,it networkservice provider,403
black pens,black pens,404
modular furnture,modular furnature,405
network cabling,#name,406
lab equipment maintenance,met one will provide repair and calibration services for several piecesof arb equipmentthis equipment is necessary for the statewideambient air quality surveillance network,407
maintenance services,tibco software license feematching platform,408
lab supply,amplitaq gold 1000u+gold buffer+mgc121000 ea box,409
onionsyellow dry,onionsyellow dry,410
pen 300 finebe,pen 300 finebe,411
bread,bread,412
flight suittan42r,cwu 27 p,413
painters masking tape,painters masking tape,414
razor,security disposable antishank,415
bare equipment rental,rubberized material melter applicator rental equipment fortransportation infrastructure needs,416
water truck,water truck2000+ gallons,417
dental scalers,dental scalers,418
gummed tape rolls,gummed tape rolls,419
water and gatorade,water and gatorade to hydrate firefighters assigned to going firedaycalmu 003472,420
carrier,vest,421
cable,cable,422
avdg work surface support,avdg work surface support,423
1uen9projector screen60 x 60 inches,1uen9projector screen60 x 60 inches,424
hp care pack 5 year nbd onsite w defective media retention,warranty,425
optimization toolbox maintenance,optimization toolbox maintenance,426
maple wraps,x,427
soms sub pm,amd #2 to exercise the 2nd 6 month option to extend,428
fuel for equip 10r148,fuel for equip 10r148,429
mxtrx2right side exit trayfor incoming faxes ,mxtrx2right side exit trayfor incoming faxes ,430
grant,devils gulch instream large woody debris project,431
desktops,elite desktops,432
pavtube dvdaid supported oswindows xp 2003 vista windows 7 windows 8 window,pavtube dvdaid supported oswindows xp 2003 vista windows 7 windows8 windows 81electronic delivery download ,433
food container lotnon contract ,12 oz food containers hot cold,434
expert witness,expert in the area of pain management,435
inner finisher stapler,inner finisher stapler,436
local protection and fast suite,replace case storage,437
hp compaq pro 6300 small form factor desktop,hp compaq pro 6300small form factor desktop,438
mop handle60 fiberglassred,mop handle60 fiberglassred,439
french toastsregularfull slicefrozen,french toastsregularfull slicefrozen,440
dozer operator,dozer operator,441
dell power edge r710 extended server warranty,dell power edge r710 extended server warranty,442
500gb hard drive,500gb hard drive,443
manual dispenser,manual dispenser,444
parts,engine parts,445
phppspd ep,contractor shall properly dispose of waste water slurrytorula yeastand water mixturegenerated by the pd ep trapping program in ventura county,446
tape 2x110yd 12 pk cr,tape 2x110yd 12 pk cr,447
local government,local government resources on going fire clover,448
wildland hoses,wildland hosesvarious sizes and colors,449
moving services,fresno onestop ,450
norex membership,norex membership,451
ink cartridge,c6195a ink cartridge,452
positin indicator,position indicatorlimit switch,453
direct service,perform medical administrative activities on behalf of dhcs,454
weatherproof cover,weatherproof cover,455
jury consultant,withheld 01some or all of the information in this contractis exempt from disclosureif you need informationcontact department,456
beefchickensausage breakfast,81 35lb case,457
chipspotatobbqind,2nd quarter food orders,458
jumbo key ring,lucky line 11inch jumbo key ring,459
1010265 a01,expansion on sow activities in years 2 and 3 and an increase in the budget for years 2 and 3,460
smead twopocket heavyweight folder 87865up to 100 sheetsletterlavender,smead twopocket heavyweight folder 87865up to 100 sheetsletter lavender 25 per box,461
cisco nexus configuration 1000v v20 training,cisco nexus 1000v v20 configuration training,462
ca recycle fee,ca recycle fee,463
warranty,warranty,464
magnetic push pins,magnetic push pins,465
repair postage machine,to repair postage machine,466
nutritional supplement,nutritional supplement,467
aa battery,batteries,468
1 1 2 x 1 1 2 pxm brz male adpt,1 1 2 x 1 1 2 pxm brz male adpt,469
3 4 pxp brz ball valve wet hdl,3 4 pxp brz ball valve wet hdl,470
envelope printing,print adm 517 envelopes,471
fuel for equip 06s109,fuel for equip 06s109,472
fuel for equip 15r117,fuel for equip 15r117,473
safety smock,safety smock,474
meal everyday kosher,meal everyday kosher,475
bread mix,bread mix,476
cartridge,cartridge,477
aed pads,aed pads,478
arcgis for desktop advanced single use primary maintenance,maintenance,479
bus,ford bus,480
48 root grapple,48 inch root grapple attachment including all hoses and couplers for abobcat excavator,481
index maker clear label punched dividereight tab,index maker clear label punched dividereight tab 5 sets box,482
bb19440232gbsd card,bb19440232gbsd card,483
iogear gscs982u kvm audio switch dektop,audio switch,484
procram sedi filter pcg251bb20l 5ea case,procram sedi filter pcg251bb20l 5ea case,485
misc food items,misc food items,486
hp elitebook 2760p,qty 12hp elitebook 2760p,487
aircraft support related,hgu56 flt helmet multiple sizes,488
hp 124a cyan toner cartridge for 1600,hp 124a cyan toner cartridge for 1600,489
vemco v51x180k tansmitters,vemco v51x180k tansmitters,490
webcam,integrated 720p hd webcam,491
hp server,server,492
duplex pump station,liberty duplex pump station d3648lsgx202s,493
water heater and supplies,water heater and supplies,494
equipment maintenance,contractor will provide repairtestingcalibrationand maintenanceof ambient air monitoring equipmentthe equipment will bethroughout the statewide pm25 monitoring network,495
dib hp 90w docking station,docking stations,496
envelopes,envelopes,497
area 550associate advisor registration feeofficer van dragt,area 550associate advisor registration feeofficer van dragt,498
porta potties,porta potties used by incident personnel on monticello incident,499
chair,chair,500
fuel for equip 05s115,fuel for equip 05s115,501
golf cart,golf cart,502
gloves,gloves,503
management consulting project manager i,management consulting project manager i,504
dgs bpm la,cleaning supplies,505
urine culture transport kit,urine culture transport kit,506
medical vocational training services,medical vocational training services,507
tire stock,tire stock,508
0986035 a02,amendment a02 extends term by two years and increases budget,509
dskprmr36x72rt rtncherry,dskprmr36x72rt rtncherry,510
current year toyota highlander hybrid,current year toyota highlander hybrid,511
custom trauma kit,custom trauma kit for cal fire,512
unisys softwarehardware maintenance,propreitary unisys softwarehardware maintenance,513
folding tables,folding tables for childrens crafts and activities at the sagecalifornia green fair at the state capitol,514
cane lot,lot of canes and hernia belts,515
western digital elements portable 500gb hard drive,western digital elements portable 500gb hard drive,516
hp cp4525dn wwarranty,color printer w5 yr warranty,517
misc office supplies,misc office supplies for our la supply room,518
installation,installation of the ice building tankpump and refrigeration systemper the requirements of the attached statement of work 100518sowr2,519
meal kit,meal kit,520
policy writing and implementation,contractor to provide law enforcement policy manual and integrated dailytraining bulletin service,521
keyboardusb wiredpc compatibleblack,keyboardusb wiredpc compatibleblack,522
mku support,mku support,523
hp 78 tricolor,hp 78 tricolor,524
baking powder,double acting baking powder,525
